MGI_ID,MGI_Symbol
MGI:95462,Evx2
MGI:95474,F8a
MGI:95476,Fabp3
MGI:95478,Fabp2
MGI:95479,Fabp1
MGI:95481,Ptk2
MGI:95482,Fah
MGI:95484,Fas
MGI:95485,Fasn
MGI:95486,Fbl
MGI:95487,Fbln1
MGI:95488,Fbln2
MGI:95489,Fbn1
MGI:95490,Fbn2
MGI:95491,Fbp2
MGI:95492,Fbp1
MGI:95494,Fcer1a
MGI:95495,Ms4a2
MGI:95496,Fcer1g
MGI:95497,Fcer2a
MGI:95498,Fcgr1
MGI:95499,Fcgr2b
MGI:95500,Fcgr3
MGI:95513,Fech
MGI:95514,Fes
MGI:95515,Fgf1
MGI:95516,Fgf2
MGI:95517,Fgf3
MGI:95518,Fgf4
MGI:95519,Fgf5
MGI:95520,Fgf6
MGI:95521,Fgf7
MGI:95522,Fgfr1
MGI:95523,Fgfr2
MGI:95524,Fgfr3
MGI:95525,Fgfr4
MGI:95526,Fgg
MGI:95527,Fgr
MGI:95530,Fh1
MGI:95537,Ccn2
MGI:95542,Fkbp2
MGI:95543,Fkbp4
MGI:95546,Foxs1
MGI:95553,Flg
MGI:95554,Fli1
MGI:95558,Flt1
MGI:95559,Flt3
MGI:95560,Flt3l
MGI:95561,Flt4
MGI:95564,Fmr1
MGI:95566,Fn1
MGI:95568,Folr1
MGI:95569,Folr2
MGI:95574,Fos
MGI:95575,Fosb
MGI:95576,Fpgs
MGI:95582,Fshb
MGI:95583,Fshr
MGI:95585,Cidec
MGI:95586,Fst
MGI:95588,Fth1
MGI:95589,Ftl1
MGI:95593,Fuca1
MGI:95594,Fut4
MGI:95595,Fv1
MGI:95602,Fyn
MGI:95606,Xrcc6
MGI:95609,Gaa
MGI:95610,Gabpa
MGI:95611,Gabpb1
MGI:95612,Gabpb2
MGI:95613,Gabra1
MGI:95614,Gabra2
MGI:95615,Gabra3
MGI:95616,Gabra4
MGI:95617,Gabra5
MGI:95618,Gabra6
MGI:95619,Gabrb1
MGI:95620,Gabrb2
MGI:95621,Gabrb3
MGI:95622,Gabrd
MGI:95623,Gabrg2
MGI:95624,Gabrg3
MGI:95625,Gabrr1
MGI:95626,Gabrr2
MGI:95627,Slc6a1
MGI:95628,Slc6a12
MGI:95629,Slc6a13
MGI:95630,Slc6a11
MGI:95632,Gad1
MGI:95634,Gad2
MGI:95636,Galc
MGI:95638,Galt
MGI:95639,Gap43
MGI:95640,Gapdh
MGI:95653,Gapdhs
MGI:95654,Gart
MGI:95655,Gas1
MGI:95657,Gas2
MGI:95660,Gas6
MGI:95661,Gata1
MGI:95662,Gata2
MGI:95663,Gata3
MGI:95664,Gata4
MGI:95665,Gba
MGI:95666,Gbp2b
MGI:95667,Gbx1
MGI:95668,Gbx2
MGI:95669,Gc
MGI:95674,Gcg
MGI:95675,Gch1
MGI:95676,Gcnt1
MGI:95678,Gda
MGI:95679,Gpd1
MGI:95683,Gdf1
MGI:95684,Gdf10
MGI:95686,Gdf3
MGI:95688,Gdf5
MGI:95689,Gdf6
MGI:95690,Gdf7
MGI:95692,Gdf9
MGI:95697,Gfap
MGI:95698,Gfpt1
MGI:95700,Ggct
MGI:95704,Ggta1
MGI:95705,B4galt1
MGI:95706,Ggt1
MGI:95707,Gh
MGI:95708,Ghr
MGI:95709,Ghrh
MGI:95710,Ghrhr
MGI:95712,Gpr83
MGI:95713,Gja1
MGI:95714,Gja3
MGI:95715,Gja4
MGI:95716,Gja5
MGI:95717,Gja6
MGI:95718,Gjc1
MGI:95719,Gjb1
MGI:95720,Gjb2
MGI:95721,Gjb3
MGI:95722,Gjb4
MGI:95723,Gjb5
MGI:95727,Gli1
MGI:95728,Gli2
MGI:95729,Gli3
MGI:95730,Galk1
MGI:95739,Glul
MGI:95742,Glo1
MGI:95745,Hagh
MGI:95747,Glra1
MGI:95748,Glra2
MGI:95749,Glra3
MGI:95750,Glra4
MGI:95751,Glrb
MGI:95752,Gls
MGI:95753,Glud1
MGI:95759,Glycam1
MGI:95760,Slc6a9
MGI:95762,Gm2a
MGI:95764,Gnl1
MGI:95766,Gna11
MGI:95767,Gna12
MGI:95768,Gna13
MGI:95769,Gna14
MGI:95770,Gna15
MGI:95771,Gnai1
MGI:95772,Gnai2
MGI:95773,Gnai3
MGI:95774,Gnal
MGI:95775,Gnao1
MGI:95776,Gnaq
MGI:95777,Gnas
MGI:95778,Gnat1
MGI:95779,Gnat2
MGI:95780,Gnaz
MGI:95781,Gnb1
MGI:95784,Gnb2
MGI:95785,Gnb3
MGI:95787,Gng7
MGI:95789,Gnrh1
MGI:95790,Gnrhr
MGI:95791,Got1
MGI:95792,Got2
MGI:95794,Lrp2
MGI:95797,Gpi1
MGI:95801,Grk4
MGI:95802,Gpt
MGI:95804,Gsr
MGI:95805,Grb2
MGI:95806,Tle5
MGI:95808,Gria1
MGI:95809,Gria2
MGI:95810,Gria3
MGI:95811,Gria4
MGI:95812,Grid1
MGI:95813,Grid2
MGI:95814,Grik1
MGI:95815,Grik2
MGI:95816,Grik3
MGI:95817,Grik4
MGI:95818,Grik5
MGI:95819,Grin1
MGI:95820,Grin2a
MGI:95821,Grin2b
MGI:95822,Grin2c
MGI:95823,Grin2d
MGI:95824,Nr3c1
MGI:95832,Grn
MGI:95833,Grp
MGI:95834,Pdia3
MGI:95835,Hspa5
MGI:95836,Grpr
MGI:95841,Gsc
MGI:95842,Gsx1
MGI:95843,Gsx2
MGI:95851,Gsn
MGI:95852,Gss
MGI:95864,Gstp2
MGI:95865,Gstp1
MGI:95871,Guk1
MGI:95872,Gusb
MGI:95880,Gypa
MGI:95886,H13
MGI:95893,H1f0
MGI:95895,H2-Aa
MGI:95896,H2-D1
MGI:95901,H2-Eb1
MGI:95902,H2-Eb2
MGI:95904,H2-K1
MGI:95908,Pfdn6
MGI:95909,Slc39a7
MGI:95911,H2-Ke6
MGI:95913,H2-M1
MGI:95914,H2-M2
MGI:95915,H2-M3
MGI:95917,H2-M5
MGI:95924,H2-Oa
MGI:95925,H2-Ob
MGI:95928,H2-Q1
MGI:95929,H2-Q10
MGI:95931,H2-Q2
MGI:95933,H2-Q4
MGI:95935,H2-Q6
MGI:95936,H2-Q7
MGI:95956,H2-T22
MGI:95957,H2-T23
MGI:95958,H2-T24
MGI:95959,H2-T3
MGI:95975,Ifi44l
MGI:95994,Selenos
MGI:96009,Hadh
MGI:96010,Hal
MGI:96011,Hao1
MGI:96012,Hao2
MGI:96013,Hat1
MGI:96015,Hba-a1
MGI:96016,Hba-a2
MGI:96019,Hba-x
MGI:96024,Hbb-bh1
MGI:96025,Hbb-bh2
MGI:96027,Hbb-y
MGI:96031,Hc
MGI:96051,Serpind1
MGI:96052,Hck
MGI:96055,Ptpn6
MGI:96062,Hdc
MGI:96067,Htt
MGI:96070,Hbegf
MGI:96071,Hesx1
MGI:96073,Hexa
MGI:96074,Hexb
MGI:96078,Hgd
MGI:96079,Hgf
MGI:96080,Mst1
MGI:96083,Nrg1
MGI:96086,Hhex
MGI:96090,Asmt
MGI:96097,H2ac18
MGI:96100,Hivep1
MGI:96103,Hk1
MGI:96108,Hlf
MGI:96109,Hlx
MGI:96112,Hmbs
MGI:96113,Hmgb1
MGI:96120,Hmgn1
MGI:96136,Hmgn2
MGI:96157,Hmgb2
MGI:96158,Hmgcl
MGI:96159,Hmgcr
MGI:96160,Hmga1
MGI:96161,Hmga1b
MGI:96163,Hmox1
MGI:96170,Hoxa1
MGI:96171,Hoxa10
MGI:96172,Hoxa11
MGI:96173,Hoxa13
MGI:96174,Hoxa2
MGI:96175,Hoxa3
MGI:96176,Hoxa4
MGI:96177,Hoxa5
MGI:96178,Hoxa6
MGI:96179,Hoxa7
MGI:96180,Hoxa9
MGI:96182,Hoxb1
MGI:96183,Hoxb2
MGI:96184,Hoxb3
MGI:96185,Hoxb4
MGI:96186,Hoxb5
MGI:96187,Hoxb6
MGI:96188,Hoxb7
MGI:96189,Hoxb8
MGI:96190,Hoxb9
MGI:96192,Hoxc10
MGI:96193,Hoxc11
MGI:96194,Hoxc12
MGI:96195,Hoxc4
MGI:96196,Hoxc5
MGI:96197,Hoxc6
MGI:96198,Hoxc8
MGI:96199,Hoxc9
MGI:96201,Hoxd1
MGI:96202,Hoxd10
MGI:96203,Hoxd11
MGI:96204,Hoxd12
MGI:96205,Hoxd13
MGI:96207,Hoxd3
MGI:96208,Hoxd4
MGI:96209,Hoxd8
MGI:96210,Hoxd9
MGI:96211,Hp
MGI:96213,Hpd
MGI:96216,Lipc
MGI:96217,Hprt
MGI:96223,Hr
MGI:96224,Hras
MGI:96226,Hrc
MGI:96231,Hspa1l
MGI:96233,Hsd3b1
MGI:96234,Hsd3b2
MGI:96235,Hsd3b3
MGI:96236,Hsd3b4
MGI:96238,Hsf1
MGI:96239,Hsf2
MGI:96240,Hspb1
MGI:96242,Hspd1
MGI:96243,Hspa2
MGI:96244,Hspa1a
MGI:96247,Hsp90ab1
MGI:96250,Hsp90aa1
MGI:96257,Hspg2
MGI:96270,Trmt2a
MGI:96273,Htr1a
MGI:96274,Htr1b
MGI:96276,Htr1d
MGI:96281,Htr2c
MGI:96282,Htr3a
MGI:96283,Htr5a
MGI:96284,Htr5b
MGI:96285,Slc6a4
MGI:96298,Hyal1
MGI:96382,Iapp
MGI:96389,Ibsp
MGI:96391,Ica1
MGI:96392,Icam1
MGI:96394,Icam2
MGI:96395,Irf8
MGI:96396,Id1
MGI:96397,Id2
MGI:96398,Id3
MGI:96412,Ide
MGI:96413,Idh1
MGI:96414,Idh2
MGI:96416,Ido1
MGI:96417,Ids
MGI:96418,Idua
MGI:96428,Ifi203
MGI:96429,Ifi204
MGI:96431,Cd79b
MGI:96432,Igf1
MGI:96433,Igf1r
MGI:96434,Igf2
MGI:96435,Igf2r
MGI:96436,Igfbp1
MGI:96437,Igfbp2
MGI:96438,Igfbp3
MGI:96439,Igfbp4
MGI:96440,Igfbp5
MGI:96441,Igfbp6
MGI:96493,Jchain
MGI:96529,Igll1
